DATE,TIME PERIOD,NEW CISS - Composite Indicator of Systemic Stress. (CISS.D.NL.Z0Z.4F.EC.SS_CIN.IDX)
05.01.99,05. Jan 99,0.1699
06.01.99,06. Jan 99,0.1762
07.01.99,07. Jan 99,0.2069
08.01.99,08. Jan 99,0.2111
11.01.99,11. Jan 99,0.2553
12.01.99,12. Jan 99,0.2613
13.01.99,13. Jan 99,0.3361
14.01.99,14. Jan 99,0.351
15.01.99,15. Jan 99,0.3534
18.01.99,18. Jan 99,0.3475
19.01.99,19. Jan 99,0.3313
20.01.99,20. Jan 99,0.3101
21.01.99,21. Jan 99,0.3065
22.01.99,22. Jan 99,0.2928
25.01.99,25. Jan 99,0.2637
26.01.99,26. Jan 99,0.2277
27.01.99,27. Jan 99,0.2006
28.01.99,28. Jan 99,0.1955
29.01.99,29. Jan 99,0.1784
01.02.99,01. Feb 99,0.1675
02.02.99,02. Feb 99,0.1733
03.02.99,03. Feb 99,0.1542
04.02.99,04. Feb 99,0.1426
05.02.99,05. Feb 99,0.1349
08.02.99,08. Feb 99,0.129
09.02.99,09. Feb 99,0.1438
10.02.99,10. Feb 99,0.1357
11.02.99,11. Feb 99,0.1329
12.02.99,12. Feb 99,0.1324
15.02.99,15. Feb 99,0.1376
16.02.99,16. Feb 99,0.1432
17.02.99,17. Feb 99,0.1447
18.02.99,18. Feb 99,0.1462
19.02.99,19. Feb 99,0.1367
22.02.99,22. Feb 99,0.1328
23.02.99,23. Feb 99,0.1249
24.02.99,24. Feb 99,0.1247
25.02.99,25. Feb 99,0.138
26.02.99,26. Feb 99,0.1393
01.03.99,01. Mar 99,0.1525
02.03.99,02. Mar 99,0.1577
03.03.99,03. Mar 99,0.1619
04.03.99,04. Mar 99,0.1605
05.03.99,05. Mar 99,0.1856
08.03.99,08. Mar 99,0.1769
09.03.99,09. Mar 99,0.1649
10.03.99,10. Mar 99,0.148
11.03.99,11. Mar 99,0.1511
12.03.99,12. Mar 99,0.1552
15.03.99,15. Mar 99,0.1753
16.03.99,16. Mar 99,0.1787
17.03.99,17. Mar 99,0.1744
18.03.99,18. Mar 99,0.1631
19.03.99,19. Mar 99,0.1672
22.03.99,22. Mar 99,0.1557
23.03.99,23. Mar 99,0.1663
24.03.99,24. Mar 99,0.1704
25.03.99,25. Mar 99,0.1577
26.03.99,26. Mar 99,0.153
29.03.99,29. Mar 99,0.1482
30.03.99,30. Mar 99,0.1376
31.03.99,31. Mar 99,0.1284
01.04.99,01. Apr 99,0.1263
02.04.99,02. Apr 99,0.1278
05.04.99,05. Apr 99,0.1153
06.04.99,06. Apr 99,0.129
07.04.99,07. Apr 99,0.1129
08.04.99,08. Apr 99,0.0979
09.04.99,09. Apr 99,0.1177
12.04.99,12. Apr 99,0.104
13.04.99,13. Apr 99,0.1015
14.04.99,14. Apr 99,0.0957
15.04.99,15. Apr 99,0.0906
16.04.99,16. Apr 99,0.098
19.04.99,19. Apr 99,0.109
20.04.99,20. Apr 99,0.1025
21.04.99,21. Apr 99,0.0964
22.04.99,22. Apr 99,0.0889
23.04.99,23. Apr 99,0.0769
26.04.99,26. Apr 99,0.0695
27.04.99,27. Apr 99,0.0703
28.04.99,28. Apr 99,0.0572
29.04.99,29. Apr 99,0.0498
30.04.99,30. Apr 99,0.0428
03.05.99,03. May 99,0.037
04.05.99,04. May 99,0.0437
05.05.99,05. May 99,0.0417
06.05.99,06. May 99,0.0604
07.05.99,07. May 99,0.0649
10.05.99,10. May 99,0.063
11.05.99,11. May 99,0.0571
12.05.99,12. May 99,0.0534
13.05.99,13. May 99,0.0447
14.05.99,14. May 99,0.0441
17.05.99,17. May 99,0.0444
18.05.99,18. May 99,0.0413
19.05.99,19. May 99,0.0374
20.05.99,20. May 99,0.0338
21.05.99,21. May 99,0.0317
24.05.99,24. May 99,0.0249
25.05.99,25. May 99,0.0192
26.05.99,26. May 99,0.0179
27.05.99,27. May 99,0.017
28.05.99,28. May 99,0.0169
31.05.99,31. May 99,0.0146
01.06.99,01. Jun 99,0.0153
02.06.99,02. Jun 99,0.0172
03.06.99,03. Jun 99,0.0149
04.06.99,04. Jun 99,0.0142
07.06.99,07. Jun 99,0.0148
08.06.99,08. Jun 99,0.0172
09.06.99,09. Jun 99,0.0161
10.06.99,10. Jun 99,0.0236
11.06.99,11. Jun 99,0.0211
14.06.99,14. Jun 99,0.0211
15.06.99,15. Jun 99,0.0188
16.06.99,16. Jun 99,0.0162
17.06.99,17. Jun 99,0.0175
18.06.99,18. Jun 99,0.0195
21.06.99,21. Jun 99,0.0237
22.06.99,22. Jun 99,0.0155
23.06.99,23. Jun 99,0.0174
24.06.99,24. Jun 99,0.0147
25.06.99,25. Jun 99,0.0112
28.06.99,28. Jun 99,0.0107
29.06.99,29. Jun 99,0.0108
30.06.99,30. Jun 99,0.0092
01.07.99,01. Jul 99,0.0123
02.07.99,02. Jul 99,0.011
05.07.99,05. Jul 99,0.0144
06.07.99,06. Jul 99,0.0151
07.07.99,07. Jul 99,0.0192
08.07.99,08. Jul 99,0.015
09.07.99,09. Jul 99,0.0164
12.07.99,12. Jul 99,0.0158
13.07.99,13. Jul 99,0.0142
14.07.99,14. Jul 99,0.0158
15.07.99,15. Jul 99,0.0172
16.07.99,16. Jul 99,0.0117
19.07.99,19. Jul 99,0.0074
20.07.99,20. Jul 99,0.0589
21.07.99,21. Jul 99,0.1118
22.07.99,22. Jul 99,0.146
23.07.99,23. Jul 99,0.1719
26.07.99,26. Jul 99,0.2111
27.07.99,27. Jul 99,0.2159
28.07.99,28. Jul 99,0.2133
29.07.99,29. Jul 99,0.2268
30.07.99,30. Jul 99,0.2338
02.08.99,02. Aug 99,0.2366
03.08.99,03. Aug 99,0.2281
04.08.99,04. Aug 99,0.2219
05.08.99,05. Aug 99,0.235
06.08.99,06. Aug 99,0.2255
09.08.99,09. Aug 99,0.2079
10.08.99,10. Aug 99,0.1885
11.08.99,11. Aug 99,0.177
12.08.99,12. Aug 99,0.1778
13.08.99,13. Aug 99,0.149
16.08.99,16. Aug 99,0.1573
17.08.99,17. Aug 99,0.1394
18.08.99,18. Aug 99,0.1213
19.08.99,19. Aug 99,0.1176
20.08.99,20. Aug 99,0.1408
23.08.99,23. Aug 99,0.1277
24.08.99,24. Aug 99,0.1143
25.08.99,25. Aug 99,0.1301
26.08.99,26. Aug 99,0.117
27.08.99,27. Aug 99,0.1042
30.08.99,30. Aug 99,0.0862
31.08.99,31. Aug 99,0.1132
01.09.99,01. Sep 99,0.1088
02.09.99,02. Sep 99,0.1088
03.09.99,03. Sep 99,0.1177
06.09.99,06. Sep 99,0.1198
07.09.99,07. Sep 99,0.1131
08.09.99,08. Sep 99,0.0981
09.09.99,09. Sep 99,0.1016
10.09.99,10. Sep 99,0.1
13.09.99,13. Sep 99,0.1334
14.09.99,14. Sep 99,0.1402
15.09.99,15. Sep 99,0.1346
16.09.99,16. Sep 99,0.1375
17.09.99,17. Sep 99,0.1344
20.09.99,20. Sep 99,0.1276
21.09.99,21. Sep 99,0.1301
22.09.99,22. Sep 99,0.1423
23.09.99,23. Sep 99,0.1429
24.09.99,24. Sep 99,0.167
27.09.99,27. Sep 99,0.1899
28.09.99,28. Sep 99,0.201
29.09.99,29. Sep 99,0.2259
30.09.99,30. Sep 99,0.2826
01.10.99,01. Oct 99,0.3148
04.10.99,04. Oct 99,0.3269
05.10.99,05. Oct 99,0.3204
06.10.99,06. Oct 99,0.3074
07.10.99,07. Oct 99,0.2784
08.10.99,08. Oct 99,0.2759
11.10.99,11. Oct 99,0.2566
12.10.99,12. Oct 99,0.2472
13.10.99,13. Oct 99,0.2691
14.10.99,14. Oct 99,0.2559
15.10.99,15. Oct 99,0.2991
18.10.99,18. Oct 99,0.3072
19.10.99,19. Oct 99,0.3021
20.10.99,20. Oct 99,0.2818
21.10.99,21. Oct 99,0.2666
22.10.99,22. Oct 99,0.2517
25.10.99,25. Oct 99,0.2356
26.10.99,26. Oct 99,0.2289
27.10.99,27. Oct 99,0.2259
28.10.99,28. Oct 99,0.2301
29.10.99,29. Oct 99,0.2051
01.11.99,01. Nov 99,0.2078
02.11.99,02. Nov 99,0.2107
03.11.99,03. Nov 99,0.2106
04.11.99,04. Nov 99,0.2
05.11.99,05. Nov 99,0.1984
08.11.99,08. Nov 99,0.181
09.11.99,09. Nov 99,0.1699
10.11.99,10. Nov 99,0.147
11.11.99,11. Nov 99,0.128
12.11.99,12. Nov 99,0.1281
15.11.99,15. Nov 99,0.1166
16.11.99,16. Nov 99,0.1181
17.11.99,17. Nov 99,0.0973
18.11.99,18. Nov 99,0.0896
19.11.99,19. Nov 99,0.0713
22.11.99,22. Nov 99,0.0665
23.11.99,23. Nov 99,0.0586
24.11.99,24. Nov 99,0.0574
25.11.99,25. Nov 99,0.0624
26.11.99,26. Nov 99,0.0608
29.11.99,29. Nov 99,0.053
30.11.99,30. Nov 99,0.0532
01.12.99,01. Dec 99,0.0469
02.12.99,02. Dec 99,0.0451
03.12.99,03. Dec 99,0.0473
06.12.99,06. Dec 99,0.0594
07.12.99,07. Dec 99,0.0554
08.12.99,08. Dec 99,0.0523
09.12.99,09. Dec 99,0.0661
10.12.99,10. Dec 99,0.0651
13.12.99,13. Dec 99,0.0563
14.12.99,14. Dec 99,0.054
15.12.99,15. Dec 99,0.0467
16.12.99,16. Dec 99,0.0661
17.12.99,17. Dec 99,0.0673
20.12.99,20. Dec 99,0.0664
21.12.99,21. Dec 99,0.0552
22.12.99,22. Dec 99,0.0516
23.12.99,23. Dec 99,0.037
24.12.99,24. Dec 99,0.0413
27.12.99,27. Dec 99,0.036
28.12.99,28. Dec 99,0.0275
29.12.99,29. Dec 99,0.0208
30.12.99,30. Dec 99,0.028
31.12.99,31. Dec 99,0.0292
03.01.00,03. Jan 00,0.0162
04.01.00,04. Jan 00,0.0922
05.01.00,05. Jan 00,0.1164
06.01.00,06. Jan 00,0.1281
07.01.00,07. Jan 00,0.1499
10.01.00,10. Jan 00,0.152
11.01.00,11. Jan 00,0.1505
12.01.00,12. Jan 00,0.1456
13.01.00,13. Jan 00,0.1362
14.01.00,14. Jan 00,0.1387
17.01.00,17. Jan 00,0.163
18.01.00,18. Jan 00,0.1491
19.01.00,19. Jan 00,0.1397
20.01.00,20. Jan 00,0.1396
21.01.00,21. Jan 00,0.1324
24.01.00,24. Jan 00,0.1514
25.01.00,25. Jan 00,0.1277
26.01.00,26. Jan 00,0.1112
27.01.00,27. Jan 00,0.1156
28.01.00,28. Jan 00,0.1327
31.01.00,31. Jan 00,0.1737
01.02.00,01. Feb 00,0.1909
02.02.00,02. Feb 00,0.1977
03.02.00,03. Feb 00,0.211
04.02.00,04. Feb 00,0.2513
07.02.00,07. Feb 00,0.2386
08.02.00,08. Feb 00,0.2904
09.02.00,09. Feb 00,0.2767
10.02.00,10. Feb 00,0.282
11.02.00,11. Feb 00,0.2706
14.02.00,14. Feb 00,0.2719
15.02.00,15. Feb 00,0.2426
16.02.00,16. Feb 00,0.2355
17.02.00,17. Feb 00,0.2629
18.02.00,18. Feb 00,0.245
21.02.00,21. Feb 00,0.2357
22.02.00,22. Feb 00,0.2761
23.02.00,23. Feb 00,0.2713
24.02.00,24. Feb 00,0.2956
25.02.00,25. Feb 00,0.3273
28.02.00,28. Feb 00,0.3261
29.02.00,29. Feb 00,0.3499
01.03.00,01. Mar 00,0.3358
02.03.00,02. Mar 00,0.3263
03.03.00,03. Mar 00,0.3353
06.03.00,06. Mar 00,0.319
07.03.00,07. Mar 00,0.2911
08.03.00,08. Mar 00,0.2896
09.03.00,09. Mar 00,0.3142
10.03.00,10. Mar 00,0.3154
13.03.00,13. Mar 00,0.3109
14.03.00,14. Mar 00,0.3049
15.03.00,15. Mar 00,0.2775
16.03.00,16. Mar 00,0.2875
17.03.00,17. Mar 00,0.2725
20.03.00,20. Mar 00,0.272
21.03.00,21. Mar 00,0.2431
22.03.00,22. Mar 00,0.2438
23.03.00,23. Mar 00,0.245
24.03.00,24. Mar 00,0.2457
27.03.00,27. Mar 00,0.2318
28.03.00,28. Mar 00,0.2327
29.03.00,29. Mar 00,0.2499
30.03.00,30. Mar 00,0.2375
31.03.00,31. Mar 00,0.2201
03.04.00,03. Apr 00,0.2006
04.04.00,04. Apr 00,0.176
05.04.00,05. Apr 00,0.2163
06.04.00,06. Apr 00,0.222
07.04.00,07. Apr 00,0.2303
10.04.00,10. Apr 00,0.216
11.04.00,11. Apr 00,0.1962
12.04.00,12. Apr 00,0.1763
13.04.00,13. Apr 00,0.156
14.04.00,14. Apr 00,0.1405
17.04.00,17. Apr 00,0.1434
18.04.00,18. Apr 00,0.1398
19.04.00,19. Apr 00,0.1315
20.04.00,20. Apr 00,0.1378
21.04.00,21. Apr 00,0.1313
24.04.00,24. Apr 00,0.1195
25.04.00,25. Apr 00,0.1175
26.04.00,26. Apr 00,0.1181
27.04.00,27. Apr 00,0.1288
28.04.00,28. Apr 00,0.1356
01.05.00,01. May 00,0.1235
02.05.00,02. May 00,0.136
03.05.00,03. May 00,0.1909
04.05.00,04. May 00,0.2075
05.05.00,05. May 00,0.2133
08.05.00,08. May 00,0.2059
09.05.00,09. May 00,0.1995
10.05.00,10. May 00,0.2105
11.05.00,11. May 00,0.2229
12.05.00,12. May 00,0.2347
15.05.00,15. May 00,0.2482
16.05.00,16. May 00,0.2614
17.05.00,17. May 00,0.2718
18.05.00,18. May 00,0.2581
19.05.00,19. May 00,0.2577
22.05.00,22. May 00,0.2644
23.05.00,23. May 00,0.2536
24.05.00,24. May 00,0.2457
25.05.00,25. May 00,0.2559
26.05.00,26. May 00,0.2631
29.05.00,29. May 00,0.2605
30.05.00,30. May 00,0.2414
31.05.00,31. May 00,0.2354
01.06.00,01. Jun 00,0.2347
02.06.00,02. Jun 00,0.2211
05.06.00,05. Jun 00,0.2079
06.06.00,06. Jun 00,0.1938
07.06.00,07. Jun 00,0.1783
08.06.00,08. Jun 00,0.1866
09.06.00,09. Jun 00,0.1875
12.06.00,12. Jun 00,0.1658
13.06.00,13. Jun 00,0.1523
14.06.00,14. Jun 00,0.1458
15.06.00,15. Jun 00,0.1632
16.06.00,16. Jun 00,0.171
19.06.00,19. Jun 00,0.1616
20.06.00,20. Jun 00,0.165
21.06.00,21. Jun 00,0.1712
22.06.00,22. Jun 00,0.1632
23.06.00,23. Jun 00,0.1521
26.06.00,26. Jun 00,0.145
27.06.00,27. Jun 00,0.1354
28.06.00,28. Jun 00,0.1217
29.06.00,29. Jun 00,0.1161
30.06.00,30. Jun 00,0.1301
03.07.00,03. Jul 00,0.1236
04.07.00,04. Jul 00,0.1108
05.07.00,05. Jul 00,0.1127
06.07.00,06. Jul 00,0.1095
07.07.00,07. Jul 00,0.1142
10.07.00,10. Jul 00,0.1061
11.07.00,11. Jul 00,0.0938
12.07.00,12. Jul 00,0.0878
13.07.00,13. Jul 00,0.1177
14.07.00,14. Jul 00,0.1094
17.07.00,17. Jul 00,0.1003
18.07.00,18. Jul 00,0.0852
19.07.00,19. Jul 00,0.1089
20.07.00,20. Jul 00,0.1015
21.07.00,21. Jul 00,0.0972
24.07.00,24. Jul 00,0.0965
25.07.00,25. Jul 00,0.0991
26.07.00,26. Jul 00,0.0922
27.07.00,27. Jul 00,0.0738
28.07.00,28. Jul 00,0.0755
31.07.00,31. Jul 00,0.0683
01.08.00,01. Aug 00,0.0622
02.08.00,02. Aug 00,0.0725
03.08.00,03. Aug 00,0.0787
04.08.00,04. Aug 00,0.0825
07.08.00,07. Aug 00,0.0795
08.08.00,08. Aug 00,0.0791
09.08.00,09. Aug 00,0.0814
10.08.00,10. Aug 00,0.073
11.08.00,11. Aug 00,0.1114
14.08.00,14. Aug 00,0.1239
15.08.00,15. Aug 00,0.128
16.08.00,16. Aug 00,0.1356
17.08.00,17. Aug 00,0.1255
18.08.00,18. Aug 00,0.1127
21.08.00,21. Aug 00,0.1101
22.08.00,22. Aug 00,0.1007
23.08.00,23. Aug 00,0.1014
24.08.00,24. Aug 00,0.1033
25.08.00,25. Aug 00,0.0999
28.08.00,28. Aug 00,0.0984
29.08.00,29. Aug 00,0.0805
30.08.00,30. Aug 00,0.0755
31.08.00,31. Aug 00,0.0687
01.09.00,01. Sep 00,0.0415
04.09.00,04. Sep 00,0.0487
05.09.00,05. Sep 00,0.0546
06.09.00,06. Sep 00,0.0555
07.09.00,07. Sep 00,0.0711
08.09.00,08. Sep 00,0.0708
11.09.00,11. Sep 00,0.0702
12.09.00,12. Sep 00,0.0665
13.09.00,13. Sep 00,0.0614
14.09.00,14. Sep 00,0.0585
15.09.00,15. Sep 00,0.0535
18.09.00,18. Sep 00,0.065
19.09.00,19. Sep 00,0.0649
20.09.00,20. Sep 00,0.0789
21.09.00,21. Sep 00,0.0724
22.09.00,22. Sep 00,0.1067
25.09.00,25. Sep 00,0.1227
26.09.00,26. Sep 00,0.1431
27.09.00,27. Sep 00,0.1447
28.09.00,28. Sep 00,0.1558
29.09.00,29. Sep 00,0.1615
02.10.00,02. Oct 00,0.1661
03.10.00,03. Oct 00,0.1623
04.10.00,04. Oct 00,0.1627
05.10.00,05. Oct 00,0.1571
06.10.00,06. Oct 00,0.1474
09.10.00,09. Oct 00,0.1342
10.10.00,10. Oct 00,0.1267
11.10.00,11. Oct 00,0.1155
12.10.00,12. Oct 00,0.1297
13.10.00,13. Oct 00,0.1311
16.10.00,16. Oct 00,0.1419
17.10.00,17. Oct 00,0.1402
18.10.00,18. Oct 00,0.1418
19.10.00,19. Oct 00,0.171
20.10.00,20. Oct 00,0.1731
23.10.00,23. Oct 00,0.1888
24.10.00,24. Oct 00,0.1943
25.10.00,25. Oct 00,0.1892
26.10.00,26. Oct 00,0.1862
27.10.00,27. Oct 00,0.1894
30.10.00,30. Oct 00,0.2075
31.10.00,31. Oct 00,0.1952
01.11.00,01. Nov 00,0.2021
02.11.00,02. Nov 00,0.1968
03.11.00,03. Nov 00,0.1892
06.11.00,06. Nov 00,0.1738
07.11.00,07. Nov 00,0.1638
08.11.00,08. Nov 00,0.1617
09.11.00,09. Nov 00,0.1438
10.11.00,10. Nov 00,0.1535
13.11.00,13. Nov 00,0.1381
14.11.00,14. Nov 00,0.1434
15.11.00,15. Nov 00,0.1426
16.11.00,16. Nov 00,0.1338
17.11.00,17. Nov 00,0.1378
20.11.00,20. Nov 00,0.1379
21.11.00,21. Nov 00,0.1311
22.11.00,22. Nov 00,0.1211
23.11.00,23. Nov 00,0.1189
24.11.00,24. Nov 00,0.115
27.11.00,27. Nov 00,0.1076
28.11.00,28. Nov 00,0.1383
29.11.00,29. Nov 00,0.1358
30.11.00,30. Nov 00,0.14
01.12.00,01. Dec 00,0.1759
04.12.00,04. Dec 00,0.1984
05.12.00,05. Dec 00,0.2137
06.12.00,06. Dec 00,0.2273
07.12.00,07. Dec 00,0.2291
08.12.00,08. Dec 00,0.2236
11.12.00,11. Dec 00,0.2319
12.12.00,12. Dec 00,0.2169
13.12.00,13. Dec 00,0.1909
14.12.00,14. Dec 00,0.2074
15.12.00,15. Dec 00,0.2231
18.12.00,18. Dec 00,0.2242
19.12.00,19. Dec 00,0.221
20.12.00,20. Dec 00,0.2592
21.12.00,21. Dec 00,0.2561
22.12.00,22. Dec 00,0.2632
25.12.00,25. Dec 00,0.2551
26.12.00,26. Dec 00,0.2444
27.12.00,27. Dec 00,0.2554
28.12.00,28. Dec 00,0.2473
29.12.00,29. Dec 00,0.2138
01.01.01,01. Jan 01,0.2008
02.01.01,02. Jan 01,0.1897
03.01.01,03. Jan 01,0.2084
04.01.01,04. Jan 01,0.2186
05.01.01,05. Jan 01,0.2429
08.01.01,08. Jan 01,0.2417
09.01.01,09. Jan 01,0.2395
10.01.01,10. Jan 01,0.2339
11.01.01,11. Jan 01,0.2518
12.01.01,12. Jan 01,0.2688
15.01.01,15. Jan 01,0.2667
16.01.01,16. Jan 01,0.2684
17.01.01,17. Jan 01,0.2706
18.01.01,18. Jan 01,0.0979
19.01.01,19. Jan 01,0.109
22.01.01,22. Jan 01,0.124
23.01.01,23. Jan 01,0.1317
24.01.01,24. Jan 01,0.1399
25.01.01,25. Jan 01,0.1491
26.01.01,26. Jan 01,0.1484
29.01.01,29. Jan 01,0.1475
30.01.01,30. Jan 01,0.1359
31.01.01,31. Jan 01,0.1643
01.02.01,01. Feb 01,0.1746
02.02.01,02. Feb 01,0.1655
05.02.01,05. Feb 01,0.1502
06.02.01,06. Feb 01,0.1509
07.02.01,07. Feb 01,0.1444
08.02.01,08. Feb 01,0.1391
09.02.01,09. Feb 01,0.1293
12.02.01,12. Feb 01,0.125
13.02.01,13. Feb 01,0.1163
14.02.01,14. Feb 01,0.1347
15.02.01,15. Feb 01,0.1186
16.02.01,16. Feb 01,0.1206
19.02.01,19. Feb 01,0.136
20.02.01,20. Feb 01,0.1488
21.02.01,21. Feb 01,0.1526
22.02.01,22. Feb 01,0.1722
23.02.01,23. Feb 01,0.1686
26.02.01,26. Feb 01,0.1674
27.02.01,27. Feb 01,0.1536
28.02.01,28. Feb 01,0.1807
01.03.01,01. Mar 01,0.1755
02.03.01,02. Mar 01,0.1908
05.03.01,05. Mar 01,0.1926
06.03.01,06. Mar 01,0.1889
07.03.01,07. Mar 01,0.1873
08.03.01,08. Mar 01,0.167
09.03.01,09. Mar 01,0.1589
12.03.01,12. Mar 01,0.1772
13.03.01,13. Mar 01,0.1842
14.03.01,14. Mar 01,0.1839
15.03.01,15. Mar 01,0.1994
16.03.01,16. Mar 01,0.2199
19.03.01,19. Mar 01,0.2188
20.03.01,20. Mar 01,0.1999
21.03.01,21. Mar 01,0.1986
22.03.01,22. Mar 01,0.2392
23.03.01,23. Mar 01,0.2388
26.03.01,26. Mar 01,0.233
27.03.01,27. Mar 01,0.1918
28.03.01,28. Mar 01,0.2376
29.03.01,29. Mar 01,0.2549
30.03.01,30. Mar 01,0.2574
02.04.01,02. Apr 01,0.2468
03.04.01,03. Apr 01,0.2642
04.04.01,04. Apr 01,0.2843
05.04.01,05. Apr 01,0.2842
06.04.01,06. Apr 01,0.2778
09.04.01,09. Apr 01,0.2667
10.04.01,10. Apr 01,0.2689
11.04.01,11. Apr 01,0.2984
12.04.01,12. Apr 01,0.3171
13.04.01,13. Apr 01,0.3046
16.04.01,16. Apr 01,0.2814
17.04.01,17. Apr 01,0.2727
18.04.01,18. Apr 01,0.2642
19.04.01,19. Apr 01,0.2649
20.04.01,20. Apr 01,0.3086
23.04.01,23. Apr 01,0.3088
24.04.01,24. Apr 01,0.3012
25.04.01,25. Apr 01,0.2878
26.04.01,26. Apr 01,0.2816
27.04.01,27. Apr 01,0.255
30.04.01,30. Apr 01,0.2951
01.05.01,01. May 01,0.2981
02.05.01,02. May 01,0.2683
03.05.01,03. May 01,0.2781
04.05.01,04. May 01,0.2572
07.05.01,07. May 01,0.235
08.05.01,08. May 01,0.2173
09.05.01,09. May 01,0.1982
10.05.01,10. May 01,0.1979
11.05.01,11. May 01,0.2084
14.05.01,14. May 01,0.2054
15.05.01,15. May 01,0.1817
16.05.01,16. May 01,0.1719
17.05.01,17. May 01,0.1583
18.05.01,18. May 01,0.1443
21.05.01,21. May 01,0.1328
22.05.01,22. May 01,0.1317
23.05.01,23. May 01,0.1614
24.05.01,24. May 01,0.1534
25.05.01,25. May 01,0.1426
28.05.01,28. May 01,0.1241
29.05.01,29. May 01,0.1121
30.05.01,30. May 01,0.1019
31.05.01,31. May 01,0.1174
01.06.01,01. Jun 01,0.104
04.06.01,04. Jun 01,0.1093
05.06.01,05. Jun 01,0.095
06.06.01,06. Jun 01,0.1241
07.06.01,07. Jun 01,0.1374
08.06.01,08. Jun 01,0.1307
11.06.01,11. Jun 01,0.1168
12.06.01,12. Jun 01,0.1013
13.06.01,13. Jun 01,0.0932
14.06.01,14. Jun 01,0.0975
15.06.01,15. Jun 01,0.1397
18.06.01,18. Jun 01,0.1487
19.06.01,19. Jun 01,0.1479
20.06.01,20. Jun 01,0.1508
21.06.01,21. Jun 01,0.1625
22.06.01,22. Jun 01,0.1593
25.06.01,25. Jun 01,0.1588
26.06.01,26. Jun 01,0.1503
27.06.01,27. Jun 01,0.1414
28.06.01,28. Jun 01,0.1728
29.06.01,29. Jun 01,0.1846
02.07.01,02. Jul 01,0.1833
03.07.01,03. Jul 01,0.1751
04.07.01,04. Jul 01,0.1782
05.07.01,05. Jul 01,0.1629
06.07.01,06. Jul 01,0.1641
09.07.01,09. Jul 01,0.1624
10.07.01,10. Jul 01,0.1636
11.07.01,11. Jul 01,0.1612
12.07.01,12. Jul 01,0.1609
13.07.01,13. Jul 01,0.1441
16.07.01,16. Jul 01,0.1505
17.07.01,17. Jul 01,0.1527
18.07.01,18. Jul 01,0.1867
19.07.01,19. Jul 01,0.1866
20.07.01,20. Jul 01,0.1804
23.07.01,23. Jul 01,0.1694
24.07.01,24. Jul 01,0.1595
25.07.01,25. Jul 01,0.1675
26.07.01,26. Jul 01,0.1599
27.07.01,27. Jul 01,0.1461
30.07.01,30. Jul 01,0.139
31.07.01,31. Jul 01,0.1211
01.08.01,01. Aug 01,0.1133
02.08.01,02. Aug 01,0.1069
03.08.01,03. Aug 01,0.0978
06.08.01,06. Aug 01,0.0793
07.08.01,07. Aug 01,0.0701
08.08.01,08. Aug 01,0.0585
09.08.01,09. Aug 01,0.0795
10.08.01,10. Aug 01,0.0831
13.08.01,13. Aug 01,0.0903
14.08.01,14. Aug 01,0.0833
15.08.01,15. Aug 01,0.1046
16.08.01,16. Aug 01,0.1057
17.08.01,17. Aug 01,0.0953
20.08.01,20. Aug 01,0.0919
21.08.01,21. Aug 01,0.0801
22.08.01,22. Aug 01,0.0731
23.08.01,23. Aug 01,0.0788
24.08.01,24. Aug 01,0.0717
27.08.01,27. Aug 01,0.0674
28.08.01,28. Aug 01,0.0638
29.08.01,29. Aug 01,0.0738
30.08.01,30. Aug 01,0.079
31.08.01,31. Aug 01,0.0754
03.09.01,03. Sep 01,0.077
04.09.01,04. Sep 01,0.0798
05.09.01,05. Sep 01,0.1105
06.09.01,06. Sep 01,0.1383
07.09.01,07. Sep 01,0.1748
10.09.01,10. Sep 01,0.1831
11.09.01,11. Sep 01,0.21
12.09.01,12. Sep 01,0.2179
13.09.01,13. Sep 01,0.2185
14.09.01,14. Sep 01,0.2714
17.09.01,17. Sep 01,0.2787
18.09.01,18. Sep 01,0.2751
19.09.01,19. Sep 01,0.2698
20.09.01,20. Sep 01,0.2454
21.09.01,21. Sep 01,0.2178
24.09.01,24. Sep 01,0.216
25.09.01,25. Sep 01,0.2039
26.09.01,26. Sep 01,0.1932
27.09.01,27. Sep 01,0.1738
28.09.01,28. Sep 01,0.1744
01.10.01,01. Oct 01,0.1766
02.10.01,02. Oct 01,0.1949
03.10.01,03. Oct 01,0.1991
04.10.01,04. Oct 01,0.2201
05.10.01,05. Oct 01,0.2217
08.10.01,08. Oct 01,0.2186
09.10.01,09. Oct 01,0.2094
10.10.01,10. Oct 01,0.2046
11.10.01,11. Oct 01,0.2049
12.10.01,12. Oct 01,0.1823
15.10.01,15. Oct 01,0.1812
16.10.01,16. Oct 01,0.1617
17.10.01,17. Oct 01,0.1403
18.10.01,18. Oct 01,0.1118
19.10.01,19. Oct 01,0.103
22.10.01,22. Oct 01,0.0925
23.10.01,23. Oct 01,0.0876
24.10.01,24. Oct 01,0.0774
25.10.01,25. Oct 01,0.0709
26.10.01,26. Oct 01,0.0693
29.10.01,29. Oct 01,0.0643
30.10.01,30. Oct 01,0.0628
31.10.01,31. Oct 01,0.0649
01.11.01,01. Nov 01,0.0765
02.11.01,02. Nov 01,0.0789
05.11.01,05. Nov 01,0.087
06.11.01,06. Nov 01,0.0791
07.11.01,07. Nov 01,0.1022
08.11.01,08. Nov 01,0.0966
